paragraph_id,question_id,answer
13619,42536,"голотурии, гидроиды"
314,22417,прикажет очистить зал
6333,10709,"организмами, известными как переносчики"
9768,82984,по сети EFTPOS
8680,35370,к банку UBS
13954,81435,лабиализация и делабиализация звуков
5132,43363,"синтез нескольких обычаев. Таким образом, последовательная замена обычаев"
6295,77528,Betacam
13261,3522,Золотая Нива и Площадь Гарина-Михайловского
5845,23728,в результате деятельности фотосинтезирующих организмов
11394,49953,с автомобилями
8820,55856,В 2004 и 2015 годах
9159,13179,в сокровищницу мировой музыкальной культуры
14596,29756,глубоким философским смыслом
2108,78107,иммиграция и сельское хозяйство
5169,80620,первое место
1146,45469,в 1895 году
13603,12214,в усмотрении разумом ясных и очевидных отношений между ясными и раздельными идеями
3253,23242,600 тысяч рублей
4447,52196,во всех городских округах
9722,68144,солист оркестра Каунта Бэйси
6553,18716,в уклонении от налогов
10666,56763,6-я гвардейская танковая дивизия ВС СССР
7328,76584,в качестве ностальгического артефакта от любимой группы
4040,11978,Александр Шумлянский
11005,75177,Ковалевским
14643,14324,Абрахам Босс
8743,48847,сугубо профессиональный и прагматичный
2524,33994,мирмекофилия и термитофилия
1249,15915,дважды
4486,14832,к абортам
4041,24325,В 1612 году
5628,8522,"Aneuretinae, Apomyrminae, Cerapachyinae, Ecitoninae, Formicinae, Myrmeciinae, Nothomyrmeciinae и Ponerinae"
7780,43689,работа по принципу доверительного управления
698,36820,рассчитать время ожидания маршрута
10428,77957,неаддитивные
8782,18612,"Жака Деррида, Мишеля Фуко"
4483,66818,с плавающим затвором
3963,38814,"31,1 км и 26 станций"
5649,1265,музыкально-математическую архитектонику космоса
737,46299,О точных границах между прозой и поэзией
865,2191,сердечно-сосудистой
955,3660,кровавую битву на Сомме
1047,62055,теорию эволюции путём естественного отбора
1531,33,в 1985 году
4339,72825,с чёрным каше сверху
317,40561,"малые плотины, с помощью которых создают, например, пруды"
11380,13105,специальные понижающие трансмиссии
14091,53632,в кулинарии
11954,12660,руководство
13585,13178,"процессы, связанные с получением и обработкой металлов"
4731,38665,Формой
11023,45741,не позднее первой половины XI века
10749,74394,Формальный сборник филогенетической номенклатуры (ФилоКод)
15047,31760,исторические области
14669,25628,швейцарской телекомпании СФ-ДРС
11970,5865,ahí
10512,28512,Локьера
13681,17686,книгопечатания
5831,76014,В 1899 году
8321,80562,существование единого мидийского языка
10847,32067,1895
4286,49147,в Шостке
7998,56973,структура промышленности менялась в сторону большей роли обрабатывающих фабрик
6788,20595,"землетрясение, наводнение, цунами, извержение вулкана, лесные пожары"
8472,49022,"14,2 млн евро"
11910,36142,у Мособлбанка
14719,49360,в португальском
2207,75139,Святой Губки
12882,83841,комнатой плача
9512,66032,легкостью гидролиза растворимых соединений висмута
3645,78627,В XV веке
13444,38471,"от 1,5 млн руб.— Коммерсантъ"
413,12951,тамилы
13353,38439,фиксированные на все время действия контракта
10315,24547,по рекам
2373,66429,обесценивает внутренний долг
9149,16713,"Закалка, то есть быстрое охлаждение, аморфного материала, каким является стекло"
11559,75166,"новаторство, радикальность, использование новых техник и приемов"
10920,1956,замена тюркизмов славянскими аналогами
6246,27171,по шкале Мооса
13356,34672,1973 года
14673,66009,на выплату гос. долга и стабилизацию инфляции
3870,59527,В 1252 году
8950,33905,на четвёртом году жизни
5815,74763,вводит новые ограничения
882,36499,весьма вольные
4245,14011,"хлеб, картофель, макароны, крупы, сладости"
13673,18306,в жидкости
11841,9986,оценку объективных потребительских свойств
5790,14913,обычаев
8786,58445,19 февраля 2013 года
2281,38491,обеспечение в форме металлических резервов
13031,41266,Зависимость морфологических признаков от диаметра кратера
6039,47253,Red Bull Racing и Scuderia Toro Rosso
12544,22663,Данные по разбавленным растворам
12686,66027,не сопровождается проигрышем очка
11888,39038,с крахом Ганзы и изнурительной Нойсской войной
774,21044,поперечная dm—cu
701,78080,У моллюсков и членистоногих
6750,77854,больше
7078,56958,гребень железнодорожного колеса
14084,1865,осуществлённые субъектами данной страны за рубежом
14156,26098,На крышу
731,35940,преувеличенный пафос и театральность
7638,54108,чтобы организовать доступ к исходным текстам программы
5914,49514,пролив и Гудзонов залив
14623,42229,в XXI век
10199,2374,Choice Hotels
14313,77418,в 7 лет
12785,26975,299 792 458 м/с
2069,68888,воеводой Григорием Засекиным
6666,68971,ни один крупный штраф
14714,38560,Like a Virgin
10990,20601,Во вторичных перетяжках
10261,71805,от средневекового названия исторической области Чехии — Богемия (Bohemia)
11675,71081,Зерно
492,45412,гусеницы молей рода Ceratophaga
4309,49296,Из-за отсутствия ротации новых песен Мадонны в США
4905,40256,1127 — 1128 годы
6427,74901,для достижения общих целей организации
2992,44632,о переходе к стратегии работы в качестве Финансового магазина
7149,5233,Физкультура и йога
12161,70815,в тропических и умеренных областях всех континентов
7708,53787,год
2304,80272,Ретик
3884,17622,своими интересами
1719,58323,не может
1991,55765,башкирско-татарских изоглосс
1862,16659,114 818
14454,29300,"свободное письмо, или свободный стиль"
14873,280,асконоидных
4157,42848,собрание
1480,30453,Два
4167,42640,на органы боковой линии
10551,54175,Иремель
14138,28031,"фантастическая эрудиция, почти сверхъестественная память и удивительная работоспособность"
11523,54823,Харви Кокс
8586,55021,у булавоусых бабочек
3599,63020,к снижению биопродуктивности рек и морей
1693,76558,около 30 млрд 1-мВт
1243,80842,с Муромцевой
888,61159,как полимер четырёх оснований
6244,55782,в процессах свертывания крови
8013,36947,Леннон не переносил рутину школьной жизни
6107,25285,ряд пороков вкуса и запаха
13381,36924,наследник венгерского престола Иштван
429,71181,из университета Торонто
13729,20940,Английский язык
12991,48992,физической теории растворов
3337,484,История литературы как история эволюционного развития литературных форм
10686,15247,неподвижные веки
5420,49172,В декабре
3828,40428,свободным гражданином
12695,56354,В I же веке н. э.
11979,48145,Гомера
11017,78863,число потомков с данным генотипом
7242,34322,Новый мост
9318,54859,в учебной речевой студии ГИТИСа
9692,19984,профаза
10847,61139,Малон Лумис
9850,30847,в банкоматах и кассовых терминалах банка-эмитента
9902,36539,бинарная
1815,21166,одноосный акселерометр
14848,1874,UnRAR
2302,1803,Ты знаешь римский/румынский
1242,35167,Колумбии
631,73395,нет-лейблы
13091,69590,к бартеру
11099,22787,может сочетаться
11839,20922,завладеть всем предпринимательским рынком города
13561,65386,по лимфатическим
6041,27384,"в пользу потенциально бесконечно малых, то есть переменных величин"
520,39518,"образование ферментов, разрушающих чужеродную ДНК"
13041,52553,без взрыва желтоватым пламенем
11316,18846,один самец-вожак
6747,77422,"колоть, рубить, резать и даже метать в случае необходимости"
3141,75369,искусство декоратора-машиниста и архитектора
11140,9269,среди перламутровок (Argynnis) и шашечниц
4889,71898,в 3 — 6 лет
7254,17391,"октонионы, октавы"
11326,68195,аграрный характер
1479,26948,Ahaetulla
256,79507,сетевые продовольственные супермаркеты и гипермаркеты
4052,31505,старый помещается на станцию
4461,12199,устойчивость структуры общества
9072,29211,В 1991 году
557,23797,выполнить валидацию
4494,23400,в 306 году
12511,61802,посредством самодисциплины с одновременным вовлечением в возвышенную духовную деятельность
13200,69917,создание музыкального театра
9201,36793,В антарктической и субантарктической зонах
10150,70077,про Шемрока Уомлбса
11108,65599,прибылью излишек
771,39759,до 6 — 8°
7793,42376,"золу, известь"
4468,62776,в развивающихся странах
9507,28476,линейных мышей
10051,61138,автономного хода
14482,56978,свободная
4927,72260,"Р. Бунзен, Г. Кирхгоф, Г. Гельмгольц, Э. Эрленмейер и др"
10516,11317,акционерное общество коммерческий банк ЮНИСТРИМ
9900,3186,8 января 2016 года
4776,61699,"Mötley Crüe, Twisted Sister и Cinderella"
3007,67694,Единая торговая компания
5753,50260,дако-румынским
12441,13283,тремя различными группами
2312,9396,"самки, а не самцы"
11338,51653,Нельсон Олдрич
11578,82096,собственные гробы
7483,63045,новые перезаписываемые диски
10827,49377,этанол
1965,58717,из фантастического триллера План 9 из открытого космоса Эдварда Вуда-младшего
7550,69084,У примитивных жаброногих
4618,29542,статистическую оценку вероятности нод
1908,2599,вирусам
14329,12244,сложности и искусственности
9464,31277,всплытие
2117,43251,директора музея профессора Даниэля Корнелиуса Даниэльсена
2954,75005,Кубком Европы
10873,49821,силициды переходных металлов
5067,46440,в золотой фонд мирового кинематографа
3279,43012,в 1927 г.
10740,17892,средние и большие расстояния
3676,30923,чтобы удовлетворить намерение определенной моторной цели
5951,80010,"Распашка, охота, вырубка лесов"
5192,73558,"расположенные вокруг прямоугольного двора общежитие, мечеть, аудиторию"
10399,11968,"предприятия, методами и структурой маркетинга"
13052,67773,Позднее Возрождение в Италии
2288,9325,рачков
10594,83664,дёрново-подзолистые местами заболоченные почвы
793,3269,"предварительные заплывы, в вечернюю программу — полуфиналы и финалы"
5158,65028,Органические кофакторы
10623,64636,в дельтах Волги и Кубани и водоёмах Сибири
7243,14986,множеством разработок
14257,28578,Галилея
3501,18375,широкими спекуляциями
873,2771,на дорсальную часть — тегумен (tegumen) и вентральную — винкулум (vinculum)
9464,36923,для хранения топлива
5694,81502,Конец 1970-х и 1980-е годы
1740,43563,что он не одобряет таких действий ульд Хейдаллы в отношении САДР
4524,33715,"распасовщиками, диспетчерами или плэймэйкерами"
5460,81991,в 1819 году
8365,74411,с 1855 года
9826,56010,Учитель
10791,28483,от состава сырья
11017,25616,приспособленность организмов
11847,79850,особое местообитание
6304,24453,Спот
1794,30980,временное советское правительство Латвии
5592,8235,для прохождения закона в Конгрессе
6254,78887,"особенно нижних, боли в ступнях"
5789,49144,воевода
7154,42889,сохранение готического и мавританского наследия вроде мелкой ажурной резьбы
5250,60599,объяснить свои цели и задачи
8652,48546,в 1855 году
4313,12683,"Конфедеративные Штаты Америки, мультсериал Zipang и другие фильмы и телесериалы"
5807,37047,исполняли этот указ
9759,32853,"позитивному, негативному и бесконечному"
11202,75596,три и более
13486,72285,двигателями внутреннего сгорания
4123,22158,внизу
7609,46495,с чуждыми
10533,54242,чтобы помочь открыть область для французской разведки и торговли
14744,1296,В 1906 году
3397,67869,на тонком картоне
6770,31967,княжеский суд
143,17704,висячих куколок и подпоясанных
10825,61672,многократное использование относительно простых преобразований
10526,56400,флотационный метод обогащения/очистки руды
1381,42856,лангобардским королём из баварской династии Теоделинды. Его правление не было спокойным
8178,55801,на Белостокской возвышенности Северо-Подлясской низменности
8806,68236,в 1908
5537,28896,1:50
12446,16782,советников лейпцигского надворного суда
12661,61546,негативным феноменом
13087,20127,в 1785 году
14587,26831,Блага
5364,2710,сетчатокрылых насекомых
2171,72020,1843
5295,62151,в горизонтальной
7282,34764,зимой 1609 — 1610 г.
8593,22101,Взаимоотношения между французской и немецкой частями Швейцарии
12346,29441,8 ноября 1819 года
4128,1363,снижения затрат и времени производства продукции
12222,11503,маленький ТК
14420,58850,603
5216,64050,"пока он ещё больше упадёт, чтобы начать инвестировать"
14230,34082,на основании изучения складчатых сооружений
4256,7229,в честь немецкого политика
8030,67403,Его действия не нашли поддержки правительства
10371,9866,Омар
440,40304,70 тыс. чел
6373,60913,две
1579,22889,Официальная версия создания дизайна евро
5578,58070,"паровозоремонтная, локомотиворемонтная"
4728,1799,"США, Великобритании"
13243,78741,Жана Лесажа
5466,43799,не структурированы или частично структурированы
12203,33106,Э. А. Вознесенский
1883,13944,в логико-вероятностных
6947,52567,Когда прирост предложения меньше прироста цен
11358,26647,120 774 м2
13160,29297,домашнего животного
7181,57224,через офшорные компании
8412,74986,в 2005 году
2191,55656,983 836 человек
7495,62525,сложным продуктом деятельности психики человека
2872,73178,необходимая для смерти приговорённого плотность огня
5727,29850,титула паши
4796,40039,всеобщей и обязатель­ной догматики
6781,3117,Для уменьшения веса
6134,31579,только крупная исполнительская личность может понять и раскрыть великое в творчестве другого
11202,4991,значимой социальной категорией
2247,8060,над сборной Чехословакии
12143,83357,постнеклассический
12179,35139,обсерватории
9157,25577,в любой момент
482,49768,Марком Випсанием Агриппой
13480,13675,вклад Эдмунда Гуссерля в философию математики
930,673,у воды
11065,50564,актёр Суворинского театра Борис Глаголин
3948,26999,на весь процесс разработки
9961,77200,кинетической температурой
4840,67937,Поксвирусы
7511,16832,замкнутый круг рефлекторной деятельности
4721,39186,Уимблдо́нский турни́р
1999,63353,Петер Гарри Карстензен
6849,9092,синий раствор
11423,13692,швейцарскую
9844,63142,до 1718 года
8798,59489,в 1687 году
8523,57973,долгосрочный
11047,70716,итальянским ученым Амедео
5901,40331,одна диссертация
6893,66973,угрозой судебного преследования
713,78239,"легенды, которые его окружают"
11765,77938,1950 — 1980-е годы
11998,50602,Ф. Клейн
14707,6324,Вальтера
9991,15882,порт Массауа
14442,19417,по Балтимору
5389,72598,различиями их генотипов
7740,23462,Деление путём образования клеточной пластинки
12766,58734,Аристотель вплотную подходит к материализму
14406,67453,этномузыковедение
4713,81132,This Happened to Me
12174,25525,оспой
12214,4742,водяные пары
12251,15642,прокариот
3980,12241,Веб-дизайнеры
8494,29278,Мгновенная ось вращения Земли перемещается
10310,3349,воспринимать отношение с самим собой и с окружающей средой
1816,9825,В 904 году
6438,52148,XI—XII веков
5769,51428,"мотив укладки (архитектура, структурный мотив)"
6830,43782,Интроны
8851,33274,парные
1965,28014,Bell Labs
1637,20606,влажный субтропический
10823,40084,первое место
14720,74883,разговорная драма с музыкальными вставками
3378,49788,её руководству
10257,52524,колебаниями мировых запасов золота
9759,6510,Г. В. Ф. Гегелем
9542,61158,с уровнями квантования
1758,54765,Лаевский
9567,28541,"карельский, ижорский и вепсский языки"
11475,81514,постоянным притоком иностранных исполнителей
14255,5624,теряет свою надёжность
14422,8629,Онтарио
14465,39588,перемещают
4301,77549,на финский
8622,78140,чтобы руководить репетициями оперы
12396,56360,Johnstone’s Paint Trophy
9867,71687,1851 — 1926
4469,57293,Метида и Адрастея
11148,46699,в 1939 г.
8456,50025,обналичиваются и возвращаются организатору махинации
1006,53851,челябинского областного управления Промстройбанка СССР
4355,7247,16 ноября 1914 года
13838,46993,10 октября 1752 года
5620,34387,1934 — 1936 годов
14465,43038,наращивание конструкции от опоры моста в его пролёт
971,76499,в компьютерах
5981,5947,статической памятью
14205,62815,0.003 мм
11678,1917,закрываются
3020,50736,из общеславянского периода
12811,12772,Для воспроизведения DVD с видео
8695,53314,из Японии
2313,76718,"Габдулхай Ахатов, Рона-Таш, Людмила Аюпова"
12551,2274,на брюшных ножках
9786,56928,Австралия
14627,36107,"В производстве электричества, а также при проектировании железнодорожных локомотивов"
14028,49695,в живописном классе при Академии художеств
9316,8969,В Иркутске
10487,22389,1941
6632,78903,после лизиса
8408,29544,5 тыс
13737,44033,использовать более сильные магнитные поля и снизить площадь материала
6102,34923,сумма двух радиусов
7439,75547,по причине её невозможности
14525,37183,областными делениями
13832,51183,усилительные и генераторные
4058,24769,малый бизнес
7358,63428,хорошей проходимостью
13492,5521,на холодильную установку с замкнутым контуром
12964,16185,наименее зрелые белки
5341,78284,храмы Асклепия (Эскулапа)
13617,24977,в одиночном (синглетном) состоянии
6021,19561,только вперед
853,4229,в Японии
1702,51812,способ переключения дорожек
11215,43888,кредитные организации на основании лицензии
704,74074,в любых диапазонах до 1600 м
996,3347,большую часть года
2146,15552,часть из них ассимилировалась в среде иудеев и перенимала навыки и ремесла
5867,66353,разделение зародышевых листков на зачатки органов и систем
5624,22279,быстрого реагирования
9209,13880,Семь самураев
3050,62922,1 января 1758 года
1328,23567,на законодательном
6318,39376,комплекс норм
4521,31625,на IT-части процесса изменения компании
5649,59769,"музыку сфер) — музыкальное звучание планет, солнца, луны и их сфер"
7803,35750,В течение 19 века
4438,53947,в подготовленное банком соглашение
5683,14028,ФИНАМ стал крупнейшим российским брокером
7934,65143,как отношение собственных продаж к продажам сильнейшего конкурента или трёх сильнейших конкурентов
11084,16621,один неразрывный толчок выдыхаемого воздуха
6109,65772,различные митотические циклины
7090,17437,в государствах с развитой рыночной экономикой
6469,67699,библион
1140,65325,"на раздражающем и фиброгенном действии, на накоплении вещества в ткани лёгких"
12354,1456,замок Сан-Джусто
973,3885,дихотомическую классификацию
13778,39918,основой Папской области
11775,66013,я тебе должен
5609,3015,материалистических
6212,23544,с другими животными
4434,24519,только несколько его исландских друзей и Миёко Ватаи
11710,5969,Пи́ща (еда́)
8261,30085,по ягоды или по грибы
3206,4966,система обеспечения теплового режима
4577,65456,В 1878
4074,12863,в Броде
4939,24356,двумя ступенями
10383,30449,для крупных покупок или решения других финансовых проблем
10884,52098,план нового города
10497,55302,G2
1297,20969,новизна технологии и дефицит бытовых магнитофонов вообще
7770,64920,В 1994 году
13339,58421,в работах французских социалистических утопистов
4763,19730,Хоаноциты и пинакоциты
9777,30084,формальной и виртуальной
7958,13693,Многие римские граждане
11244,69346,передачу тепла
3150,26160,"за несколько поколений закрепился бы устойчивый набор признаков, соответствующих адаптации к экстремальному холоду"
14837,61876,как результат работы двух механизмов
13831,70919,перепончатокрылые
7022,17646,на дочери Дезидерия
5324,16777,Carolus Linnaeus
13783,63850,"у него имеются резервы в количестве $3,201 трлн"
10234,72830,чтобы художник-портретист льстил своей модели
1749,1781,С. А. Токарев
3795,12497,институт труда (ЦИТ)
10284,83000,к нестрафордианскому
7567,19402,монголов генерал Сюй Да
3286,16342,это понятие бухгалтерского учёта
2408,61884,34
8523,68475,предложение денег
1013,41915,практическими
512,34763,к низкому уровню инфляции
14325,30107,близко к нулю
10002,28709,необходимый правовой компонент
13403,9413,На север от Монреаля
5980,74552,Триана
1845,61453,экспертами Международного совета по зерну
8924,61754,Selmer
466,12097,В 2004 году
9478,19162,"Аполлон Григорьев, Анненков, Дружинин, Чернышевский"
858,10702,в Историческом музее
2522,75953,1000 долларов
3508,14478,Иртеньева и Нехлюдова
13397,33060,учебного фильма
13631,12338,благодаря обучению
3834,43992,"промежуточный между европейским и широким — 1,85:1"
5012,14554,"1,16 млрд рублей"
1497,17318,к 40-летнему юбилею оригинального сериала
9805,23862,Реализация нормы
1362,3319,невозможность объективного познания и отсутствие критериев достоверности
261,11966,"в Инсбруке, при дворе князя Фердинанда Карла"
6397,30601,чаще
13689,30612,другие сёнэн-манги
2364,53771,между двумя и более людьми
6267,63739,домашний кролик
9138,73636,победы
317,44238,улучшение условий водозабора из реки
10703,63684,Южная Корея
13784,43025,по единицам величин
5217,41068,При мюллеровской мимикрии
6711,69221,"русский, английский и французский"
9890,27109,Манитоба
10344,18646,"как объективные, так и субъективные критерии"
7305,2121,кислотные и основные свойства
2444,16421,Байрона
2854,72983,в позднеантичное время
11777,21074,Бенедикт Нурсийский
10018,28132,вид простой трубки и лишена печёночных выпячиваний
8412,40048,в торговой системе местного обмена в Ванкувере
10873,20980,две
3988,45964,Монтескьё
8200,83869,варварами
6864,34532,в неоплатонизме
824,34741,Хитростью
8008,77666,Кубок конструкторов
8095,23446,"смешение стилей, ирония, игра и чёрный юмор"
10370,60896,движение литосферных плит
4281,22577,настоящее и прошедшее
1559,15960,в программном
7664,49416,Расёмон
2773,6850,частным лицам
11644,5227,21 июля 1687 года
83,20459,"немецкой, французской и итальянской культуры"
14244,18027,1905
11218,6177,крайне редко
7055,32245,королём Лиром
5033,2379,в СССР
13258,19477,Great Western
6272,34659,"из золота, грудь и руки из серебра"
5840,34645,4092 (4123) км
8168,45141,цветной государственный орёл Российской империи
9285,19825,5095
13055,10318,В Бенгальском заливе
800,32422,айнов
2117,67117,не стал восстанавливаться в университете
68,10588,в Париж
2114,69938,средние и высокие
731,49750,о воспроизведении впечатления на зрителя колоссальностью размера своих произведений и живописностью сложной группировки фигур
1535,71660,на вилле
11928,80130,Филовирусы
960,12867,аминокислот
12940,28730,Абердин
795,31136,Александра I
1801,38930,выплата определённого договором процента от выручки за продажу произведения
6228,22515,"сельским хозяйством, редко горнодобывающей промышленностью"
11069,45132,KLH
5443,25937,для питания жидкой пищей
13304,12253,художник-мироискуссник М. В. Добужинский
9787,19525,мизинец
1485,22071,примерно в 2 раза выше
3137,38169,шотландский химик
2894,49156,на Большой Международной выставке в Лондоне
5358,1151,Эдгара Аллана
8314,1771,"о том, как кровь попадает из артерий в вены"
1469,8265,Ричард Бахман (англ. Richard Bachman)
9547,39562,30 тысяч
12861,62003,две железные дороги
7619,10790,Э. Гэнель
10675,4218,Тони Траберт
4843,69363,Совет казначейства
3653,49752,"за семплинг, скретчинг и звучание электронных инструментов"
13936,73656,взаимно совместимыми
7061,2687,Самуэлем Шлафроком
3526,65348,в нэповский период
11433,32506,о применении лекарственных веществ при лечении
1232,38989,политической экспансии древних культур
8979,43864,предмет или жертвенное животное
13445,72393,с 1963 года
2980,16050,после сдачи им таких документов
3213,10774,баррэ
13667,38839,два обязательных элемента
7359,1825,об общем происхождении
3552,69924,В длинноволновом
11792,12360,из-за обменного курса валют
12680,51347,Солнцев
3131,42677,10 — 15 лет
3424,83837,только между линьками
2473,57419,американцы и канадцы
11201,65418,при помощи дизельных молотов и электрических вибропогружателей
13211,42584,в 1975 году
1502,31535,В 1830 — 1837 гг
10923,48548,"трубач Чет Бейкер, пианисты Джордж Ширинг"
10272,24577,для поиска информации в юридических целях
14617,27968,воспаление внутренней оболочки сердца
10384,55187,в семнадцатом веке
3674,69736,калия или магния
12202,59973,35-40 %
2814,9094,правительственные структуры
1487,9234,купли-продажи
5868,30779,"системы одноточечного (моновпрыск), и распределённого впрыска различных механических и электронных систем"
15106,38742,в Западной Европа и Восточная Азии
8045,13058,все закономерности мира
7724,684,шотландский химик Уильям Рамзай
8267,8580,В 1887 году
3180,68381,летучие мыши и мышиные
549,18583,с числовой единицей
4507,55060,"Эмаль на основе тонкого стеклянного порошка, закреплённого оплавлением"
3476,70439,Брёггер
5235,23958,первый приз
7462,77211,Ярослав Изяславич
15047,69327,в сочинении Об управлении империей
12619,48292,отдельный набор программного обеспечения
12972,12037,В 1857 году
2296,15954,медь и бумажные банкноты в качестве средства обмена
12800,51796,своеобразный фонд выдающихся памятников культуры и природы
3120,73701,С XVII века
12236,28629,Акт о пэрах 1963 года
2038,36621,"древнегреческие, древнеримские и персидские"
5528,60546,После объединения с Шотландией
15020,36704,Чтобы рынок был конкурентоспособным
437,64781,процесс планирования смены стадий жизненного цикла товаров
3271,19696,"комедия, трагедия, драма"
10721,28867,миелинизированными нервными волокнами
11401,57920,14 %
13797,31369,RA
9147,68694,в Университете Мичигана
2524,62093,перепончатокрылых и двукрылых
10676,37479,три языка
11286,57584,так как в обоих областях всегда есть неосновные носители заряда
13815,38159,в форме длинной (до 1 м) студенистой ленты
9153,21604,на суперкомпьютерах
8262,32356,"правило удаления сверхкратких (ь, ъ)"
8398,74080,горизонтально
9049,78781,неандертальцев
1402,6841,Primal Scream
10635,8165,Требуемый уровень безопасности
5402,19291,К началу XIV века
2171,15319,второго лейтенанта
544,35180,один из крупнейших европейских международных демографических исследовательских и учебных центров
12875,83770,экваториальной расы
10798,66672,Фендер
14697,47978,зиготы
5277,20325,"Реже встречаются дефиниции, в которых композитор определён как советский"
922,49194,12 июля 2011 года
11942,34661,Николая I
4226,2018,в Куйбышевском водохранилище
12739,82391,своеобразный интимный дневник
8584,7237,силами Ван-дер-Ваальса
953,5173,Коррект
1973,31565,муниципалитет
12274,4638,к эллинистическому времени
539,32236,для живых существ элементов
13910,81506,Константинасом Ширвидасом
2162,62796,Иоанну Златоусту
6310,80021,Emacs
7123,74664,в выходные или ночью
10558,17471,Карлес Пуйоль
14001,64437,по разработке международных эталонов метра и килограмма
7714,50305,митоз
14427,36062,вирус мозаики костра и некоторые другие вирусы растений
1992,5289,1203 — 1298
5410,44589,нет общин
13134,28591,на $2 млрд
11088,24413,заполнением двух балластных цистерн на носу и корме
7200,25454,"неоднозначны, неокончательны и к настоящему времени не дают убедительного ответа"
14556,17484,"180/π*3600≈206,265 секунды дуги"
7429,47001,для выдвижения на очередную Пушкинскую премию
14544,60328,под именем казыкумухов или казыкумыков
8733,80655,пробой на ксантиноксидазу
11560,23172,в органах управления общества
5883,39522,будды Амитабхи
12719,72815,в 1980-х годах
10124,72308,Равновесная термодинамическая абсолютная
5951,70081,В Ильменском заповеднике
9277,82332,с русским литератором и мыслителем Н. В. Станкевичем
2343,13957,вдоль провода
2167,48706,голоса заинтересованных сторон и участников в ходе диалогического процесса
14395,80610,"крупнозернистую, мелкозернистую и салообразную садку"
11883,15655,управление артиллерийскими установками и радарными антеннами
12870,47660,В 1853 году
6748,56316,начало несколько параллельных эволюционных линий
5385,34827,коперниковской революцией в астрономии
1607,82132,руководителями среднего звена
11618,77811,до 1425
10403,10431,академические
7071,67289,шляхтич-полищук Степан Рутский
987,82802,1992 года
9211,63941,золотая головка колоса
11640,16965,Великобритании
8499,30547,непосредственно вокруг контроля и использования ресурсов
6790,21368,тесными связями Киликии с европейскими государствами
10792,54796,разделение клеток на ткани
10778,45305,со Швецией
4667,38703,Необратимые ингибиторы
11502,46367,15 отделений
1613,7661,В письме к Томазию
6152,55034,банкирами
12430,62544,в 1962 году
11871,19393,Классифицируют лишайники по-разному
9178,46728,неравномерно
11606,15260,саплай-сайдеры
8260,82660,королём салических франков с центром в Камбре Рагнахаром
59,69706,отсутствие жёстких рамок поэзии
7748,15974,/ши/
2341,67288,всю поступающую информацию
13652,78726,Внешний вид и окраска крыльев бабочек
4708,19242,некоторые семейства Nematocera
2226,18316,покрытие Продавцом убытка Покупателя
9731,4373,29 рублей/л
14592,32293,25-60 %
13708,50756,Старший брат
3092,1591,снс
4005,5147,Брно
6012,46752,историки
194,66025,сутэми вадза
1800,4679,с таянием льдом и снегом в горах муссонами
7704,33569,образование огромных империй
95,43944,"они приходятся на участок орбиты Марса, удалённый от Солнца"
13922,56810,на естественных
2065,32378,республиканский запрет ротаций
13544,37835,солидное приданое
1997,78973,hulub /хулуб/ — голубь
9972,63390,1000 скважин
3375,19001,международная практическая температурная шкала
8589,6942,из-за большой массы
3988,11534,Вольтер
2258,36337,"Виллем де Кунинг, Говард Ходжкин и Джексон Поллок"
6670,80250,на снижение пожароопасности в селениях
5592,8417,Олдрич
6173,33335,молекулярной филогенетики
3080,57462,ферменты и окисляются липиды
14362,59501,Резиденция князя Милоша и бывшая королевская резиденция династии Обреновичей
